method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-F,0,0.2,0.0,3000,0,353,0,353,0.13828020473010838,0.006700000000000039,3.603962833993137,1,350,0.22096317280453256,0.37393767705382436,0.5557836294174194
PU-G,0,0.2,0.0,3000,0,376,0,376,0.1465295035741292,0.010199999999999987,3.119568041001912,1,373,0.2127659574468085,0.38563829787234044,0.48725593090057373
GREATS,0,0.2,0.0,3000,0,410,0,410,,0.008299999999999974,2.0745114579913206,1,407,0.1951219512195122,0.3780487804878049,0.4240344762802124
MaxLoss,0,0.3,0.0,3000,0,387,0,387,0.15046584833180532,0.012800000000000034,0.7111797090037726,1,384,0.31007751937984496,0.42377260981912146,0.4893822968006134
PU-C,0,0.3,0.0,3000,0,401,0,401,0.15546777396230027,0.019399999999999973,1.953409624984488,1,398,0.29177057356608477,0.4164588528678304,0.43758875131607056
PU-F,0,0.3,0.0,3000,0,441,0,441,0.16971294325776398,0.0121,4.397546833031811,1,438,0.2585034013605442,0.3832199546485261,0.707585334777832
PU-G,0,0.3,0.0,3000,0,477,0,477,0.18248000246239826,0.012900000000000023,3.798905832984019,1,474,0.24528301886792453,0.4025157232704403,0.5779770612716675
GREATS,0,0.3,0.0,3000,0,498,0,498,,0.01990000000000003,2.7142493330175057,1,495,0.24096385542168675,0.40562248995983935,0.40446317195892334
MaxLoss,0,0.4,0.0,3000,0,451,0,451,0.17326421377947554,0.023399999999999976,0.8693605829612352,1,448,0.3259423503325942,0.4789356984478936,0.5715302228927612
PU-C,0,0.4,0.0,3000,0,430,0,430,0.16580204077763483,0.008299999999999974,2.264774875016883,1,427,0.3558139534883721,0.5046511627906977,0.5351815819740295
PU-F,0,0.4,0.0,3000,0,446,0,446,0.17148905905196443,0.025000000000000022,4.3112180000171065,1,443,0.31614349775784756,0.452914798206278,0.6466699242591858
PU-G,0,0.4,0.0,3000,0,495,0,495,0.18884600239107385,0.026699999999999946,4.857263458950911,1,492,0.2868686868686869,0.43636363636363634,0.6268119215965271
GREATS,0,0.4,0.0,3000,0,496,0,496,,0.012599999999999945,2.812458250031341,1,493,0.28830645161290325,0.4415322580645161,0.361672967672348
MaxLoss,1,0.0,0.0,3000,0,118,0,118,0.05174200655892491,0.018900000000000028,0.29294849996222183,1,115,0.0,0.17796610169491525,0.81413334608078
PU-C,1,0.0,0.0,3000,0,107,0,107,0.04751565994229168,0.018100000000000005,0.18224766699131578,1,104,0.0,0.14953271028037382,0.8137211203575134
PU-F,1,0.0,0.0,3000,0,132,0,132,0.057082461076788604,0.009000000000000008,0.37711683299858123,1,129,0.0,0.11363636363636363,0.7961007356643677
